Sequence_ID	Order	Percent_of_votes	Family	Percent_of_votes
k127_8659674	Herpesvirales	100	Herpesviridae	100
k127_8675563	Caudovirales	100	Siphoviridae	100
k127_8681683	Caudovirales	100	Unassigned	NA
k127_8690397	Caudovirales	100	Siphoviridae	100
k127_877962	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_8805097	no_order_Genomoviridae	100	Genomoviridae	100
k127_8805221	Caudovirales	100	Siphoviridae	100
k127_8947603	Caudovirales	100	Siphoviridae	100
k127_8988608	no_order_Microviridae	100	Microviridae	100
k127_8999582	Caudovirales	100	Podoviridae	87.5
k127_90304	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_9034137	Caudovirales	100	Siphoviridae	100
k127_9051631	Caudovirales	50	Siphoviridae	66.6666666666667
k127_906233	Caudovirales	100	Unassigned	NA
k127_9084036	Caudovirales	100	Siphoviridae	100
k127_9099273	Caudovirales	100	Siphoviridae	100
k127_910599	Caudovirales	50	Unassigned	NA
k127_911284	Caudovirales	100	Siphoviridae	91.6666666666667
k127_9121807	Caudovirales	100	Siphoviridae	100
k127_913684	Caudovirales	100	Siphoviridae	100
k127_9143378	Caudovirales	100	Myoviridae	100
k127_9150757	Caudovirales	100	Siphoviridae	100
k127_9175727	Caudovirales	100	Myoviridae	100
k127_919773	Caudovirales	100	Siphoviridae	100
k127_9217057	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_922861	Caudovirales	100	Siphoviridae	100
k127_9245498	Caudovirales	100	Myoviridae	100
k127_9254966	Caudovirales	100	Siphoviridae	100
k127_926064	Caudovirales	100	Siphoviridae	100
k127_9307583	Caudovirales	100	Podoviridae	100
k127_9326575	Caudovirales	100	Unassigned	NA
k127_9361128	Caudovirales	100	Myoviridae	50
k127_9385411	Caudovirales	100	Unassigned	NA
k127_9388674	Caudovirales	100	Unassigned	NA
k127_9390369	Caudovirales	100	Unassigned	NA
k127_9398581	Caudovirales	100	Siphoviridae	100
k127_9419498	Caudovirales	100	Siphoviridae	100
k127_9421734	Caudovirales	100	Siphoviridae	100
k127_942960	no_order_Genomoviridae	100	Genomoviridae	100
k127_943209	no_order_Genomoviridae	100	Genomoviridae	100
k127_9484408	Caudovirales	100	Siphoviridae	100
k127_9494903	no_order_Baculoviridae	100	Baculoviridae	100
k127_9512218	no_order_Caulimoviridae	100	Caulimoviridae	100
k127_953676	Caudovirales	100	Siphoviridae	100
k127_9543126	Caudovirales	100	Myoviridae	50
k127_9617993	Caudovirales	100	Unassigned	100
k127_9642157	Caudovirales	100	Siphoviridae	100
k127_9699900	Caudovirales	100	Siphoviridae	100
k127_9769654	no_order_Papillomaviridae	100	Papillomaviridae	100
k127_9771916	no_order_Genomoviridae	100	Genomoviridae	100
k127_9791094	Caudovirales	100	Myoviridae	50
k127_9806724	no_order_Phycodnaviridae	66.6666666666667	Phycodnaviridae	66.6666666666667
k127_9831247	Caudovirales	100	Siphoviridae	60
k127_98354	no_order_Microviridae	100	Microviridae	100
k127_9854925	Caudovirales	100	Myoviridae	100
k127_9855635	Caudovirales	100	Podoviridae	100
k127_9893543	Caudovirales	100	Unassigned	NA
k127_990072	Caudovirales	100	Siphoviridae	100
k127_9920545	Caudovirales	100	Siphoviridae	100
k127_9935101	Caudovirales	100	Myoviridae	100
k127_994192	Caudovirales	100	Siphoviridae	100
k127_999479	Caudovirales	100	Siphoviridae	100
